year,month,borough,number_of_violations,min_violations,max_violations
2014,1,Manhattan,202.0,0.0,46.0
2014,2,Manhattan,300.0,0.0,102.0
2014,3,Manhattan,442.0,2.0,99.0
2014,4,Manhattan,267.0,0.0,69.0
2014,5,Manhattan,898.0,13.0,155.0
2014,6,Manhattan,343.0,0.0,110.0
2014,7,Manhattan,409.0,2.0,89.0
2014,8,Manhattan,676.0,0.0,145.0
2014,9,Manhattan,352.0,1.0,50.0
2014,10,Manhattan,518.0,1.0,84.0
2014,11,Manhattan,997.0,9.0,117.0
2014,12,Manhattan,313.0,0.0,56.0
2015,1,Manhattan,453.0,0.0,118.0
2015,2,Manhattan,492.0,3.0,128.0
2015,3,Manhattan,441.0,0.0,118.0
2015,4,Manhattan,735.0,0.0,185.0
2015,5,Manhattan,591.0,2.0,74.0
2015,6,Manhattan,595.0,0.0,60.0
2015,7,Manhattan,577.0,3.0,95.0
2015,8,Manhattan,647.0,2.0,92.0
2015,9,Manhattan,583.0,0.0,72.0
2015,10,Manhattan,615.0,3.0,66.0
2015,11,Manhattan,1523.0,29.0,139.0
2015,12,Manhattan,365.0,0.0,89.0
2016,1,Manhattan,419.0,3.0,58.0
2016,2,Manhattan,433.0,2.0,51.0
2016,3,Manhattan,465.0,1.0,62.0
2016,4,Manhattan,457.0,0.0,79.0
2016,5,Manhattan,602.0,1.0,85.0
2016,6,Manhattan,620.0,1.0,72.0
2016,7,Manhattan,504.0,1.0,61.0
2016,8,Manhattan,687.0,1.0,95.0
2016,9,Manhattan,646.0,1.0,90.0
2016,10,Manhattan,1618.0,15.0,195.0
2012,1,NYC,1740.0,0.0,411.0
2012,2,NYC,1886.0,0.0,395.0
2012,3,NYC,1803.0,0.0,340.0
2012,4,NYC,1481.0,0.0,386.0
2012,5,NYC,1521.0,0.0,316.0
2012,6,NYC,1643.0,0.0,316.0
2012,7,NYC,1696.0,0.0,409.0
2012,8,NYC,1409.0,0.0,308.0
2012,9,NYC,2002.0,0.0,248.0
2012,10,NYC,1715.0,0.0,437.0
2012,12,NYC,1481.0,0.0,455.0
2013,1,NYC,1722.0,0.0,399.0
2013,2,NYC,1831.0,0.0,247.0
2013,3,NYC,2017.0,0.0,191.0
2013,4,NYC,2786.0,0.0,442.0
2013,5,NYC,1923.0,1.0,248.0
2013,6,NYC,2029.0,0.0,150.0
2013,7,NYC,2138.0,0.0,265.0
2013,8,NYC,1469.0,0.0,177.0
2013,9,NYC,1981.0,0.0,198.0
2013,10,NYC,2933.0,0.0,358.0
2013,11,NYC,1704.0,0.0,204.0
2013,12,NYC,1713.0,0.0,269.0
2014,1,NYC,2712.0,0.0,318.0
2014,2,NYC,2323.0,0.0,197.0
2014,3,NYC,3446.0,2.0,417.0
2014,4,NYC,2896.0,0.0,184.0
2014,5,NYC,5616.0,5.0,446.0
2014,6,NYC,3586.0,0.0,437.0
2014,7,NYC,3492.0,0.0,274.0
2014,8,NYC,3601.0,0.0,301.0
2014,9,NYC,3103.0,1.0,339.0
2014,10,NYC,3695.0,1.0,362.0
2014,11,NYC,5997.0,9.0,539.0
2014,12,NYC,2124.0,0.0,137.0
2015,1,NYC,2742.0,0.0,164.0
2015,2,NYC,2747.0,3.0,168.0
2015,3,NYC,3461.0,0.0,162.0
2015,4,NYC,3978.0,0.0,232.0
2015,5,NYC,3529.0,2.0,190.0
2015,6,NYC,3791.0,0.0,206.0
2015,7,NYC,3582.0,0.0,324.0
2015,8,NYC,4106.0,2.0,267.0
2015,9,NYC,3413.0,0.0,204.0
2015,10,NYC,4313.0,3.0,334.0
2015,11,NYC,8272.0,23.0,307.0
2015,12,NYC,2723.0,0.0,250.0
2016,1,NYC,3489.0,2.0,207.0
2016,2,NYC,3596.0,2.0,147.0
2016,3,NYC,4071.0,1.0,170.0
2016,4,NYC,3682.0,0.0,138.0
2016,5,NYC,4155.0,1.0,218.0
2016,6,NYC,3876.0,1.0,155.0
2016,7,NYC,3351.0,0.0,280.0
2016,8,NYC,4330.0,1.0,280.0
2016,9,NYC,3861.0,1.0,269.0
2016,10,NYC,7359.0,8.0,275.0
2012,1,Queens,695.0,2.0,411.0
